No,Size,Type,IsDegradeRead,replicas,nativeec,microec
0,26443776,GET,true,4056.971,19.577,19.637
1,2144,GET,true,5.073,19.762,19.535
2,2310144,GET,true,359.746,18.761,27.628
3,1980,GET,true,4.518,19.314,27.455
4,1152,GET,true,3.803,18.781,19.743
5,2404,GET,true,4.951,18.415,19.822
6,2628,GET,true,4.571,19.644,19.34
7,1336,GET,true,4.182,23.237,21.658
8,1772,GET,true,4.135,19.398,21.165
9,14708,GET,true,8.285,29.26,19.52
10,40943616,GET,true,6292.469,18.773,19.715
11,2195456,GET,true,342.312,19.459,24.164
12,2404,GET,true,4.695,19.417,20.466
13,4931584,GET,true,760.833,18.945,19.025
14,2420,GET,true,4.435,22.083,19.824
15,30720000,GET,true,4726.581,24.067,20.154
16,2212,GET,true,5.297,22.933,22.783
17,1584,GET,true,4.456,19.709,19.854
18,114688,GET,true,25.991,19.446,20.137
19,20365312,GET,true,3140.266,57.242,40.108
20,65536,PUT,false,108.569,22.152,21.927
21,16187392,GET,true,2486.775,20.344,20.111
22,4016,GET,true,6.456,25.067,20.419
23,15548416,GET,true,2387.175,19.891,20.477
24,10764288,GET,true,1654.366,21.4,19.4
25,14663680,GET,true,2251.822,19.091,20.061
26,23822336,GET,true,3670.934,67.161,67.842
27,1116,GET,true,4.756,25.62,22.978
28,2628,GET,true,4.858,23.397,20.006
29,1152,GET,true,3.843,21.141,20.763
30,10088,GET,true,6.828,20.459,20.822
31,16384,GET,true,7.875,19.349,19.89
32,1980,GET,true,4.636,21.671,20.686
33,1900544,GET,true,296.891,18.826,23.675
34,2628,GET,true,5.008,20.749,20.915
35,2996,GET,true,5.224,19.276,19.675
36,54394880,GET,true,8336.498,19.499,19.567
37,3000,GET,true,5.642,18.766,19.586
38,2628,GET,true,4.678,20.392,19.635
39,3784,GET,true,5.188,21.543,19.868
40,851968,GET,true,169.298,19.59,20.696
41,671744,GET,true,124.215,19.681,22.481
42,7476,GET,true,6.384,19.382,20.348
43,2628,GET,true,5.152,19.08,20.545
44,2080768,GET,true,324.688,19.965,19.07
45,3342336,GET,true,517.655,19.138,19.104
46,3784,GET,true,4.663,35.304,41.951
47,3342336,GET,true,516.889,22.214,23.901
48,1720,PUT,false,27.933,19.752,28.49
49,1332,GET,true,4.303,20.733,19.746
50,819200,GET,true,149.51,19.376,19.926
51,2628,GET,true,5.475,20.082,19.265
52,12284,GET,true,6.871,20.155,19.36
53,7596,GET,true,5.609,18.671,19.733
54,3376,GET,true,5.197,19.855,20.509
55,9544,GET,true,6.519,18.924,20.338
56,1336,GET,true,3.848,19.439,19.5
57,7852,GET,true,5.888,19.479,19.315
58,2097152,GET,true,326.717,19.116,19.492
59,32768,GET,true,10.236,19.686,19.573
60,1372,GET,true,4.478,30.064,20.063
61,65536,GET,true,16.063,26.515,20.645
62,3020,GET,true,4.653,21.329,20.388
63,86900736,GET,true,13315.262,21.142,19.978
64,2340,GET,true,5.429,20.123,20.162
65,12284,GET,true,7.408,19.617,20.345
66,2080768,GET,true,324.392,20.147,19.451
67,2340,GET,true,3.881,19.654,19.833
68,10088,GET,true,6.674,19.131,20.021
69,1900544,GET,true,342.242,20.728,19.834
70,2628,GET,true,4.803,18.896,19.662
71,2844,GET,true,4.817,19.929,20.92
72,28606464,GET,true,4387.418,19.537,20.031
73,132939776,GET,true,20366.774,21.401,20.471
74,9338880,GET,true,1457.375,19.341,19.382
75,2144,GET,true,4.819,19.336,19.568
76,1576,GET,true,4.103,19.474,19.557
77,17743872,GET,true,2723.35,19.353,19.22
78,55967744,GET,true,8593.424,22.117,19.434
79,14663680,GET,true,2254.496,19.612,19.434
80,10764288,GET,true,1670.546,18.837,19.07
81,1788,GET,true,4.925,20.176,19.766
82,1966080,GET,true,307.52,18.811,19.795
83,1788,PUT,false,32.276,18.421,18.906
84,62947328,GET,true,9647.081,36.349,34.391
85,4524,GET,true,6.769,20.739,20.426
86,1980,GET,true,4.282,18.897,20.156
87,1332,GET,true,4.121,21.207,19.533
88,3680,GET,true,5.411,20.688,20.281
89,1128,GET,true,3.602,18.783,19.64
90,2340,GET,true,4.153,20.221,20.353
91,1336,GET,true,3.847,22.65,26.926
92,10404,GET,true,7.314,20.171,20.406
93,16187392,GET,true,2485.234,20.559,20.083
94,2195456,GET,true,342.641,23.46,20.508
95,1788,GET,true,4.717,22.05,20.164
96,1128,GET,true,3.838,19.55,19.737
97,54394880,GET,true,8336.216,19.407,19.36
98,32768,GET,true,10.305,20.042,20.402
99,3020,GET,true,4.73,20.412,22.689
100,2844,GET,true,5.396,19.198,32.01
101,3784,GET,true,5.463,19.186,17.911
102,4960,GET,true,5.555,19.817,18.829
103,6728,GET,true,5.704,19.385,18.151
104,110198784,GET,true,16884.044,27.758,18.785
105,3162112,GET,true,489.966,20.098,19.329
106,12284,GET,true,8.088,19.387,19.181
107,14663680,GET,true,2253.582,19.499,19.139
108,3342336,GET,true,517.492,20.252,19.236
109,33767424,PUT,false,17787.123,18.29,19.101
110,2628,GET,true,6.151,19.343,19.367
111,2310144,GET,true,360.266,19.31,18.571
112,6920,GET,true,5.721,20.015,18.891
113,51478528,GET,true,7891.039,20.514,19.497
114,2628,GET,true,5.172,19.723,18.34
115,1156,GET,true,3.781,18.757,18.536
116,2628,GET,true,4.874,20.094,19.022
117,1988,GET,true,4.333,20.197,19.216
118,2112,GET,true,4.429,19.832,18.288
119,2490368,GET,true,418.178,20.504,19.431
120,114688,GET,true,25.192,19.801,19.053
121,55197696,GET,true,8474.425,36.259,33.469
122,16384,GET,true,8.659,19.886,20.608
123,294912,GET,true,56.448,19.568,18.414
124,3000,GET,true,4.741,20.027,19.416
125,2820,GET,true,4.61,18.651,18.135
126,32768,GET,true,10.376,19.22,18.695
127,2628,GET,true,4.884,19.813,19.117
128,2949120,GET,true,457.42,19.327,19.824
129,7476,GET,true,6.402,18.75,18.549
130,2785280,GET,true,432.488,19.403,18.179
131,2060,GET,true,4.579,18.949,18.66
132,2628,GET,true,4.402,19.343,18.866
133,2628,GET,true,4.805,20.574,19.808
134,3024,GET,true,4.942,19.422,18.907
135,1332,GET,true,3.926,19.009,18.385
136,2628,GET,true,4.74,20.212,26.188
137,1772,GET,true,4.252,19.49,19.438
138,2228224,PUT,false,1040.983,39.684,19.764
139,3784,GET,true,6.103,18.539,18.727
140,2628,GET,true,5.743,31.919,33.484
141,54394880,GET,true,8341.579,20.615,20.205
142,2628,GET,true,5.257,19.389,19.221
143,12656,PUT,false,25.223,34.911,33.245
144,1152,GET,true,4.766,23.464,21.769
145,2628,GET,true,4.521,21.198,19.312
146,65536,GET,true,15.649,38.922,31.821
147,4448,GET,true,5.602,21.926,21.122
148,1332,GET,true,4.243,19.41,19.245
149,1900,GET,true,4.508,20.488,18.521
150,16384,GET,true,8.366,19.63,19.356
151,17743872,GET,true,2723.765,19.639,19.015
152,8004,GET,true,7.05,19.868,19.681
153,2628,GET,true,4.459,20.589,19.804
154,2144,GET,true,4.37,19.163,19.409
155,3256,GET,true,5.063,19.596,19.394
156,6908,GET,true,5.746,19.129,18.231
157,5236,GET,true,5.566,19.539,19.599
158,196608,GET,true,39.026,18.733,19.307
159,2628,GET,true,4.102,20.228,19.048
160,1916928,GET,true,299.588,34.318,32.837
161,16384,GET,true,7.617,21.202,20.016
162,54394880,GET,true,8351.885,19.329,19.11
163,1772,GET,true,5.285,34.472,31.144
164,8004,GET,true,6.509,48.359,21.162
165,2628,GET,true,4.467,22.354,18.877
166,1584,GET,true,4.343,19.269,18.696
167,2604,GET,true,4.906,21.134,19.263
168,9576,GET,true,6.227,19.543,18.743
169,1772,GET,true,3.908,18.235,20.388
170,2344,GET,true,4.774,21.077,19.327
171,2420,GET,true,5.414,33.042,32.624
172,147456,GET,true,31.594,22.087,21.326
173,671744,GET,true,119.476,21.068,19.399
174,65536,GET,true,15.595,19.358,19.028
175,196608,GET,true,41.996,18.338,19.072
176,2628,GET,true,4.709,19.572,18.922
177,3376,GET,true,4.691,19.102,24.129
178,2344,GET,true,4.899,18.927,18.898
179,2628,GET,true,4.49,19.315,19.141
180,2424,GET,true,4.725,18.778,18.518
181,26443776,GET,true,4058.398,20.058,18.142
182,32768,GET,true,9.982,33.458,33.691
183,3416,GET,true,5.215,20.58,19.869
184,7028736,GET,true,1081.405,19.695,19.298
185,5184,GET,true,6.173,19.813,20.376
186,1064960,GET,true,194.946,21.683,19.591
187,9576,GET,true,6.665,29.954,19.618
188,1980,GET,true,4.212,19.715,19.092
189,10764288,GET,true,1674.02,21.791,19.32
190,2828,GET,true,5.19,19.601,19.395
191,65536,GET,true,15.919,20.57,19.607
192,5184,GET,true,5.765,20.071,18.697
193,2344,GET,true,4.958,18.708,23.047
194,1964,GET,true,4.479,19.997,19.926
195,7476,GET,true,5.969,19.222,18.845
196,15269888,GET,true,2344.517,18.868,19.252
197,1028,GET,true,4.624,19.196,21.537
198,1720,PUT,false,31.262,19.494,18.858
199,7946240,GET,true,1245.568,20.036,18.727
200,2212,GET,true,4.705,18.777,19.278
201,2628,GET,true,4.942,18.21,19.216
202,16384,GET,true,8.442,19.742,19.873
203,2628,GET,true,4.791,20.492,19.139
204,2628,GET,true,4.37,19.902,19.195
205,1116,GET,true,4.316,19.731,19.396
206,6992,GET,true,5.486,20.163,20.519
207,2628,GET,true,4.493,19.72,19.453
208,2420,GET,true,5.461,21.005,19.214
209,2195456,GET,true,343.073,20.788,18.294
210,65536,GET,true,16.269,19.637,18.143
211,1236,GET,true,4.148,20.51,20.774
212,16384,GET,true,7.755,18.722,18.625
213,5390336,PUT,false,2575.241,20.982,19.974
214,1988,GET,true,4.969,21.738,19.602
215,2628,GET,true,4.57,19.808,19.079
216,16384,GET,true,7.519,20.232,19.454
217,10368,GET,true,6.032,18.782,20.814
218,16384,GET,true,6.52,18.107,19.437
219,2097152,GET,true,326.476,19.945,19.126
220,671744,PUT,false,339.039,19.02,19.095
221,358039552,GET,true,54868.333,18.679,18.466
222,2628,GET,true,6.686,19.717,43.955
223,16384,GET,true,8.757,20.013,18.594
224,1156,GET,true,4.009,19.403,18.462
225,10764288,GET,true,1671.226,18.993,18.398
226,12284,GET,true,7.008,19.436,19.265
227,2012,GET,true,4.202,36.431,31.18
228,12284,GET,true,6.492,21.762,20.167
229,1040,GET,true,4.029,19.396,20.193
230,4964352,GET,true,782.562,18.926,20.14
231,1720,PUT,false,52.597,22.864,19.351
232,3024,GET,true,4.955,21.179,18.868
233,1116,GET,true,3.931,19.63,18.59
234,3342336,GET,true,518.318,20.134,18.986
235,10320,PUT,false,27.68,19.314,19.29
236,1916928,GET,true,302.882,20.146,21.3
237,16187392,GET,true,2487.353,18.245,19.285
238,2310144,GET,true,360.382,18.358,18.987
239,12156,GET,true,7.294,18.403,18.438
240,88768512,GET,true,13619.49,18.192,18.057
241,12156,GET,true,7.027,18.17,18.768
242,6720,PUT,false,29.866,17.906,18.287
243,12284,GET,true,6.715,19.842,19.301
244,4392,GET,true,6.195,20.108,19.045
245,589824,GET,true,109.316,35.264,31.84
246,16384,GET,true,7.307,20.799,20.384
247,32768,GET,true,10.002,19.728,18.534
248,1720,GET,true,4.508,20.309,20.425
249,182452224,GET,true,27951.318,19.033,18.253
250,16384,GET,true,7.601,20.641,18.163
